题目内容,题目类型,难度,分值,选项A,选项B,选项C,选项D,选项E,选项F,正确答案,知识点,标签,解析
HTML 元素 <header> 的主要语义作用是什么？,single_choice,easy,1,用于定义页面或区段的头部内容，通常包含导航、LOGO或标题,用于表示页面或区段的底部内容，常含版权或联系信息,用于包裹文档主体中唯一的主要内容区域,用于包含页面主要的导航链接集合,,,A,HTML语义化,"HTML,语义化",用于定义页面或区段的头部内容，通常包含导航、LOGO或标题
HTML 元素 <footer> 的主要语义作用是什么？,single_choice,easy,1,用于包裹文档主体中唯一的主要内容区域,用于包含页面主要的导航链接集合,用于划分文档中具有主题的通用区块,用于表示页面或区段的底部内容，常含版权或联系信息,,,D,HTML语义化,"HTML,语义化",用于表示页面或区段的底部内容，常含版权或联系信息
HTML 元素 <main> 的主要语义作用是什么？,single_choice,easy,1,用于划分文档中具有主题的通用区块,用于表示一段独立、可复用的内容，如文章或博客帖子,用于包裹文档主体中唯一的主要内容区域,用于包含页面主要的导航链接集合,,,C,HTML语义化,"HTML,语义化",用于包裹文档主体中唯一的主要内容区域
HTML 元素 <nav> 的主要语义作用是什么？,single_choice,easy,1,用于表示与主内容相关的侧边栏内容,用于包含页面主要的导航链接集合,用于划分文档中具有主题的通用区块,用于表示一段独立、可复用的内容，如文章或博客帖子,,,B,HTML语义化,"HTML,语义化",用于包含页面主要的导航链接集合
HTML 元素 <section> 的主要语义作用是什么？,single_choice,easy,1,用于划分文档中具有主题的通用区块,用于表示一段独立、可复用的内容，如文章或博客帖子,用于表示与主内容相关的侧边栏内容,用于包裹独立的媒介资源，如图片或代码示例,,,A,HTML语义化,"HTML,语义化",用于划分文档中具有主题的通用区块
HTML 元素 <article> 的主要语义作用是什么？,single_choice,easy,1,用于表示与主内容相关的侧边栏内容,用于包裹独立的媒介资源，如图片或代码示例,用于为 <figure> 中的媒介提供标题或说明文本,用于表示一段独立、可复用的内容，如文章或博客帖子,,,D,HTML语义化,"HTML,语义化",用于表示一段独立、可复用的内容，如文章或博客帖子
HTML 元素 <aside> 的主要语义作用是什么？,single_choice,easy,1,用于为 <figure> 中的媒介提供标题或说明文本,用于标记具体的日期或时间，便于机器解析,用于表示与主内容相关的侧边栏内容,用于包裹独立的媒介资源，如图片或代码示例,,,C,HTML语义化,"HTML,语义化",用于表示与主内容相关的侧边栏内容
HTML 元素 <figure> 的主要语义作用是什么？,single_choice,easy,1,用于突出显示需要重点关注的文本内容,用于包裹独立的媒介资源，如图片或代码示例,用于为 <figure> 中的媒介提供标题或说明文本,用于标记具体的日期或时间，便于机器解析,,,B,HTML语义化,"HTML,语义化",用于包裹独立的媒介资源，如图片或代码示例
HTML 元素 <figcaption> 的主要语义作用是什么？,single_choice,easy,1,用于为 <figure> 中的媒介提供标题或说明文本,用于标记具体的日期或时间，便于机器解析,用于突出显示需要重点关注的文本内容,用于创建可展开或折叠的交互式细节面板,,,A,HTML语义化,"HTML,语义化",用于为 <figure> 中的媒介提供标题或说明文本
HTML 元素 <time> 的主要语义作用是什么？,single_choice,easy,1,用于突出显示需要重点关注的文本内容,用于创建可展开或折叠的交互式细节面板,与 <details> 搭配使用，定义可折叠面板的标题,用于标记具体的日期或时间，便于机器解析,,,D,HTML语义化,"HTML,语义化",用于标记具体的日期或时间，便于机器解析
HTML 元素 <mark> 的主要语义作用是什么？,single_choice,easy,1,与 <details> 搭配使用，定义可折叠面板的标题,用于表示联系信息，如作者邮箱或地址,用于突出显示需要重点关注的文本内容,用于创建可展开或折叠的交互式细节面板,,,C,HTML语义化,"HTML,语义化",用于突出显示需要重点关注的文本内容
HTML 元素 <details> 的主要语义作用是什么？,single_choice,easy,1,用于根据不同屏幕条件提供多套响应式图片资源,用于创建可展开或折叠的交互式细节面板,与 <details> 搭配使用，定义可折叠面板的标题,用于表示联系信息，如作者邮箱或地址,,,B,HTML语义化,"HTML,语义化",用于创建可展开或折叠的交互式细节面板
HTML 元素 <summary> 的主要语义作用是什么？,single_choice,easy,1,与 <details> 搭配使用，定义可折叠面板的标题,用于表示联系信息，如作者邮箱或地址,用于根据不同屏幕条件提供多套响应式图片资源,用于定义页面或区段的头部内容，通常包含导航、LOGO或标题,,,A,HTML语义化,"HTML,语义化",与 <details> 搭配使用，定义可折叠面板的标题
HTML 元素 <address> 的主要语义作用是什么？,single_choice,easy,1,用于根据不同屏幕条件提供多套响应式图片资源,用于定义页面或区段的头部内容，通常包含导航、LOGO或标题,用于表示页面或区段的底部内容，常含版权或联系信息,用于表示联系信息，如作者邮箱或地址,,,D,HTML语义化,"HTML,语义化",用于表示联系信息，如作者邮箱或地址
HTML 元素 <picture> 的主要语义作用是什么？,single_choice,easy,1,用于表示页面或区段的底部内容，常含版权或联系信息,用于包裹文档主体中唯一的主要内容区域,用于根据不同屏幕条件提供多套响应式图片资源,用于定义页面或区段的头部内容，通常包含导航、LOGO或标题,,,C,HTML语义化,"HTML,语义化",用于根据不同屏幕条件提供多套响应式图片资源
CSS 属性 flex-basis 的主要作用是什么？,single_choice,medium,1,定义弹性项目在分配多余空间前的初始主轴尺寸,定义弹性项目在主轴方向上可分配的剩余空间比例,定义弹性项目在空间不足时的收缩比例,允许单个弹性项目覆盖容器的 align-items 对齐方式,,,A,"CSS布局,CSS基础",CSS,定义弹性项目在分配多余空间前的初始主轴尺寸
CSS 属性 flex-grow 的主要作用是什么？,single_choice,medium,1,定义弹性项目在空间不足时的收缩比例,允许单个弹性项目覆盖容器的 align-items 对齐方式,同时设置 CSS Grid 的 align-items 和 justify-items,定义弹性项目在主轴方向上可分配的剩余空间比例,,,D,"CSS布局,CSS基础",CSS,定义弹性项目在主轴方向上可分配的剩余空间比例
CSS 属性 flex-shrink 的主要作用是什么？,single_choice,medium,1,同时设置 CSS Grid 的 align-items 和 justify-items,在网格或弹性布局中创建行列间距而无需额外外边距,定义弹性项目在空间不足时的收缩比例,允许单个弹性项目覆盖容器的 align-items 对齐方式,,,C,"CSS布局,CSS基础",CSS,定义弹性项目在空间不足时的收缩比例
CSS 属性 align-self 的主要作用是什么？,single_choice,medium,1,在 CSS Grid 中定义轨道的最小和最大尺寸范围,允许单个弹性项目覆盖容器的 align-items 对齐方式,同时设置 CSS Grid 的 align-items 和 justify-items,在网格或弹性布局中创建行列间距而无需额外外边距,,,B,"CSS布局,CSS基础",CSS,允许单个弹性项目覆盖容器的 align-items 对齐方式
CSS 属性 place-items 的主要作用是什么？,single_choice,medium,1,同时设置 CSS Grid 的 align-items 和 justify-items,在网格或弹性布局中创建行列间距而无需额外外边距,在 CSS Grid 中定义轨道的最小和最大尺寸范围,在 CSS Grid 中按指定次数重复轨道模板,,,A,"CSS布局,CSS基础",CSS,同时设置 CSS Grid 的 align-items 和 justify-items
CSS 属性 gap 的主要作用是什么？,single_choice,medium,1,在 CSS Grid 中定义轨道的最小和最大尺寸范围,在 CSS Grid 中按指定次数重复轨道模板,将某个 CSS 值限定在最小值与最大值之间随环境响应变化,在网格或弹性布局中创建行列间距而无需额外外边距,,,D,"CSS布局,CSS基础",CSS,在网格或弹性布局中创建行列间距而无需额外外边距
CSS 属性 minmax() 的主要作用是什么？,single_choice,medium,1,将某个 CSS 值限定在最小值与最大值之间随环境响应变化,控制替换元素内容在容器中的填充方式,在 CSS Grid 中定义轨道的最小和最大尺寸范围,在 CSS Grid 中按指定次数重复轨道模板,,,C,"CSS布局,CSS基础",CSS,在 CSS Grid 中定义轨道的最小和最大尺寸范围
CSS 属性 repeat() 的主要作用是什么？,single_choice,medium,1,指定替换元素内容在容器内的对齐位置,在 CSS Grid 中按指定次数重复轨道模板,将某个 CSS 值限定在最小值与最大值之间随环境响应变化,控制替换元素内容在容器中的填充方式,,,B,"CSS布局,CSS基础",CSS,在 CSS Grid 中按指定次数重复轨道模板
CSS 属性 clamp() 的主要作用是什么？,single_choice,medium,1,将某个 CSS 值限定在最小值与最大值之间随环境响应变化,控制替换元素内容在容器中的填充方式,指定替换元素内容在容器内的对齐位置,为元素后面的区域应用模糊、饱和度等图像效果,,,A,"CSS布局,CSS基础",CSS,将某个 CSS 值限定在最小值与最大值之间随环境响应变化
CSS 属性 object-fit 的主要作用是什么？,single_choice,medium,1,指定替换元素内容在容器内的对齐位置,为元素后面的区域应用模糊、饱和度等图像效果,提示浏览器即将发生的变化以优化渲染性能,控制替换元素内容在容器中的填充方式,,,D,"CSS布局,CSS基础",CSS,控制替换元素内容在容器中的填充方式
CSS 属性 object-position 的主要作用是什么？,single_choice,medium,1,提示浏览器即将发生的变化以优化渲染性能,启用滚动捕捉行为以在指定位置停留,指定替换元素内容在容器内的对齐位置,为元素后面的区域应用模糊、饱和度等图像效果,,,C,"CSS布局,CSS基础",CSS,指定替换元素内容在容器内的对齐位置
CSS 属性 backdrop-filter 的主要作用是什么？,single_choice,medium,1,为滚动捕捉元素设置额外的可视区域间距,为元素后面的区域应用模糊、饱和度等图像效果,提示浏览器即将发生的变化以优化渲染性能,启用滚动捕捉行为以在指定位置停留,,,B,"CSS布局,CSS基础",CSS,为元素后面的区域应用模糊、饱和度等图像效果
CSS 属性 will-change 的主要作用是什么？,single_choice,medium,1,提示浏览器即将发生的变化以优化渲染性能,启用滚动捕捉行为以在指定位置停留,为滚动捕捉元素设置额外的可视区域间距,限制元素的布局与绘制范围以提升渲染性能,,,A,"CSS布局,CSS基础",CSS,提示浏览器即将发生的变化以优化渲染性能
CSS 属性 scroll-snap-type 的主要作用是什么？,single_choice,medium,1,为滚动捕捉元素设置额外的可视区域间距,限制元素的布局与绘制范围以提升渲染性能,减少复杂选择器重复部分的 CSS 功能伪类,启用滚动捕捉行为以在指定位置停留,,,D,"CSS布局,CSS基础",CSS,启用滚动捕捉行为以在指定位置停留
CSS 属性 scroll-margin 的主要作用是什么？,single_choice,medium,1,减少复杂选择器重复部分的 CSS 功能伪类,提供零优先级的匹配以便组合复杂选择器,为滚动捕捉元素设置额外的可视区域间距,限制元素的布局与绘制范围以提升渲染性能,,,C,"CSS布局,CSS基础",CSS,为滚动捕捉元素设置额外的可视区域间距
CSS 属性 contain 的主要作用是什么？,single_choice,medium,1,根据后代或子元素条件选择父元素的关系伪类,限制元素的布局与绘制范围以提升渲染性能,减少复杂选择器重复部分的 CSS 功能伪类,提供零优先级的匹配以便组合复杂选择器,,,B,"CSS布局,CSS基础",CSS,限制元素的布局与绘制范围以提升渲染性能
CSS 属性 is() 的主要作用是什么？,single_choice,medium,1,减少复杂选择器重复部分的 CSS 功能伪类,提供零优先级的匹配以便组合复杂选择器,根据后代或子元素条件选择父元素的关系伪类,直接在 CSS 中定义元素的宽高比,,,A,"CSS布局,CSS基础",CSS,减少复杂选择器重复部分的 CSS 功能伪类
CSS 属性 :where() 的主要作用是什么？,single_choice,medium,1,根据后代或子元素条件选择父元素的关系伪类,直接在 CSS 中定义元素的宽高比,对元素应用模糊、灰度等图像效果,提供零优先级的匹配以便组合复杂选择器,,,D,"CSS布局,CSS基础",CSS,提供零优先级的匹配以便组合复杂选择器
CSS 属性 :has() 的主要作用是什么？,single_choice,medium,1,对元素应用模糊、灰度等图像效果,定义元素与背后内容的混合模式,根据后代或子元素条件选择父元素的关系伪类,直接在 CSS 中定义元素的宽高比,,,C,"CSS布局,CSS基础",CSS,根据后代或子元素条件选择父元素的关系伪类
CSS 属性 aspect-ratio 的主要作用是什么？,single_choice,medium,1,控制触摸设备上的默认手势行为,直接在 CSS 中定义元素的宽高比,对元素应用模糊、灰度等图像效果,定义元素与背后内容的混合模式,,,B,"CSS布局,CSS基础",CSS,直接在 CSS 中定义元素的宽高比
CSS 属性 filter 的主要作用是什么？,single_choice,medium,1,对元素应用模糊、灰度等图像效果,定义元素与背后内容的混合模式,控制触摸设备上的默认手势行为,结合 display:-webkit-box 限制多行文本显示的行数,,,A,"CSS布局,CSS基础",CSS,对元素应用模糊、灰度等图像效果
CSS 属性 mix-blend-mode 的主要作用是什么？,single_choice,medium,1,控制触摸设备上的默认手势行为,结合 display:-webkit-box 限制多行文本显示的行数,控制滚动到边界时的浏览器默认回弹或穿透行为,定义元素与背后内容的混合模式,,,D,"CSS布局,CSS基础",CSS,定义元素与背后内容的混合模式
CSS 属性 touch-action 的主要作用是什么？,single_choice,medium,1,控制滚动到边界时的浏览器默认回弹或穿透行为,定义弹性项目在分配多余空间前的初始主轴尺寸,控制触摸设备上的默认手势行为,结合 display:-webkit-box 限制多行文本显示的行数,,,C,"CSS布局,CSS基础",CSS,控制触摸设备上的默认手势行为
CSS 属性 line-clamp 的主要作用是什么？,single_choice,medium,1,定义弹性项目在主轴方向上可分配的剩余空间比例,结合 display:-webkit-box 限制多行文本显示的行数,控制滚动到边界时的浏览器默认回弹或穿透行为,定义弹性项目在分配多余空间前的初始主轴尺寸,,,B,"CSS布局,CSS基础",CSS,结合 display:-webkit-box 限制多行文本显示的行数
CSS 属性 overscroll-behavior 的主要作用是什么？,single_choice,medium,1,控制滚动到边界时的浏览器默认回弹或穿透行为,定义弹性项目在分配多余空间前的初始主轴尺寸,定义弹性项目在主轴方向上可分配的剩余空间比例,定义弹性项目在空间不足时的收缩比例,,,A,"CSS布局,CSS基础",CSS,控制滚动到边界时的浏览器默认回弹或穿透行为
在 JavaScript 中，let 声明 的正确描述是？,single_choice,medium,1,声明块级作用域变量并避免变量提升引起的重复定义,创建只读绑定，引用不可被重新赋值,提供唯一且不可枚举的属性键以避免命名冲突,一种按插入顺序保存键值对且键可为任意类型的数据结构,,,A,JavaScript,JavaScript,声明块级作用域变量并避免变量提升引起的重复定义
在 JavaScript 中，const 声明 的正确描述是？,single_choice,medium,1,提供唯一且不可枚举的属性键以避免命名冲突,一种按插入顺序保存键值对且键可为任意类型的数据结构,只存储唯一值且可高效检查存在性的集合类型,创建只读绑定，引用不可被重新赋值,,,D,JavaScript,JavaScript,创建只读绑定，引用不可被重新赋值
在 JavaScript 中，Symbol 的正确描述是？,single_choice,medium,1,只存储唯一值且可高效检查存在性的集合类型,键必须是对象且可被垃圾回收的弱引用映射,提供唯一且不可枚举的属性键以避免命名冲突,一种按插入顺序保存键值对且键可为任意类型的数据结构,,,C,JavaScript,JavaScript,提供唯一且不可枚举的属性键以避免命名冲突
在 JavaScript 中，Map 的正确描述是？,single_choice,medium,1,存储对象弱引用的集合，适合跟踪对象存在而不阻止回收,一种按插入顺序保存键值对且键可为任意类型的数据结构,只存储唯一值且可高效检查存在性的集合类型,键必须是对象且可被垃圾回收的弱引用映射,,,B,JavaScript,JavaScript,一种按插入顺序保存键值对且键可为任意类型的数据结构
在 JavaScript 中，Set 的正确描述是？,single_choice,medium,1,只存储唯一值且可高效检查存在性的集合类型,键必须是对象且可被垃圾回收的弱引用映射,存储对象弱引用的集合，适合跟踪对象存在而不阻止回收,可自定义对象基本操作行为的拦截器,,,A,JavaScript,JavaScript,只存储唯一值且可高效检查存在性的集合类型
在 JavaScript 中，WeakMap 的正确描述是？,single_choice,medium,1,存储对象弱引用的集合，适合跟踪对象存在而不阻止回收,可自定义对象基本操作行为的拦截器,提供与 Proxy handler 对应的一组辅助方法,键必须是对象且可被垃圾回收的弱引用映射,,,D,JavaScript,JavaScript,键必须是对象且可被垃圾回收的弱引用映射
在 JavaScript 中，WeakSet 的正确描述是？,single_choice,medium,1,提供与 Proxy handler 对应的一组辅助方法,等待所有 Promise 完成并返回每个结果状态而不短路,存储对象弱引用的集合，适合跟踪对象存在而不阻止回收,可自定义对象基本操作行为的拦截器,,,C,JavaScript,JavaScript,存储对象弱引用的集合，适合跟踪对象存在而不阻止回收
在 JavaScript 中，Proxy 的正确描述是？,single_choice,medium,1,返回第一个已成功兑现的 Promise 结果,可自定义对象基本操作行为的拦截器,提供与 Proxy handler 对应的一组辅助方法,等待所有 Promise 完成并返回每个结果状态而不短路,,,B,JavaScript,JavaScript,可自定义对象基本操作行为的拦截器
在 JavaScript 中，Reflect 的正确描述是？,single_choice,medium,1,提供与 Proxy handler 对应的一组辅助方法,等待所有 Promise 完成并返回每个结果状态而不短路,返回第一个已成功兑现的 Promise 结果,在访问链条中遇到 null/undefined 时短路并返回 undefined,,,A,JavaScript,JavaScript,提供与 Proxy handler 对应的一组辅助方法
